NEIGHBORHOOD,SUMMARY
Central Oakland,Underage liquor offense
South Side Flats,Public urination/defecation
South Side Flats,Indecent public act
Central Business District,Public drunkenness
Squirrel Hill North,Disorderly Conduct (Unreasonable Noise)
East Liberty,Public drunkenness
Central Oakland,Criminal Mischief
Central Oakland,Open Container
Fairywood,Harassment
Central Oakland,Unreasonable noise disorderly conduct
Central Business District,Open Container
Central North Side,Public drunkenness
Knoxville,Littering
Central Oakland,Underage liquor offense
Manchester,Excessive noise in residential area
Central Oakland,Alcohol consumption in public
Fairywood,Harassment
Central North Side,Motor vehicle attachment
Bloomfield,Public drunkenness
Marshall-Shadeland,Unreasonable noise disorderly conduct
Manchester,Excessive noise in residential area
East Allegheny,Obstruction
Allegheny Center,Alcohol on streets/sidewalks
East Allegheny,Public urination/defecation
Central Oakland,Open container
Central Business District,Public drunkenness
Allentown,Public drunkenness
Overbrook,Dog license requirement
East Allegheny,Unreasonable Noise Disorderly Conduct
Central Oakland,Disorderly conduct - unreasonable noise
Central Oakland,Open container
Central Oakland,Underage liquor
Central Oakland,Underage liquor offense
Allegheny Center,Alcohol on streets/sidewalks
Central Business District,Alcohol on streets/sidewalks
Central Oakland,Unreasonable noise disorderly conduct
Central Oakland,Underage liquor offense
Central Oakland,Underage liquor
Squirrel Hill South,Public drunkenness
Hazelwood,Harassment by contact
South Side Flats,Public drunkenness
Strip District,Public drunkenness
Elliott,Harassment
Marshall-Shadeland,Harassment
Central Oakland,Underage liquor
Central Oakland,Alcohol consumption in public
Strip District,Indecent public urination/defecation
Central Oakland,Underage liquor
East Allegheny,Obstructing passages
Central Business District,Alcohol consumption in public
Sheraden,Public drunkenness
South Side Flats,Open Container
Central Oakland,Underage liquor
Knoxville,Harassment
Central Oakland,Obscene lang/gest disorderly conduct
Central Oakland,Social host underage drinking
Marshall-Shadeland,Harassment
Bluff,Obscene lang/gest disorderly conduct
Homewood South,Harassment
Central Business District,Theft of Services
Central Oakland,Underage liquor
Central Oakland,Alcohol on streets/sidewalks
Manchester,Criminal Mischief
South Side Flats,Social host underage drinking
Central Oakland,Underage liquor offense
Central Oakland,Disorderly Conduct
Bloomfield,Actual Communication
Central Oakland,Disorderly Conduct
Central Oakland,Underage liquor
Sheraden,Cruelty to animals
Central Business District,Public drunkenness
Central Oakland,Alcohol consumption in public
South Side Flats,Obscene lang/gest disorderly conduct
Carrick,Public drunkenness
Central Oakland,Social host underage drinking
Bloomfield,Obscene Lang/Gest Disorderly Conduct
Central Oakland,Alcohol on streets/sidewalks
Allegheny Center,Public urination/defecation
Central Oakland,Underage liquor
Elliott,Alcohol consumption in public
South Side Flats,Fighting (disorderly conduct)
Homewood North,Discharging firearm/airgun
Central Oakland,Alcohol consumption in public
Central Business District,Public drunkenness
Knoxville,Disorderly conduct (unreasonable noise)
Central Business District,Alcohol consumption in public
Knoxville,Fighting (Disorderly Conduct)
South Side Flats,Public urination/defecation
Brookline,Public drunkenness
Central Business District,Public drunkenness
Central North Side,Public drunkenness
Central Oakland,Alcohol on streets/sidewalks
East Allegheny,Trespass
Greenfield,Disorderly conduct - unreasonable noise
Homewood South,Marijuana possession
Middle Hill,Public marijuana smoking
South Side Flats,Public drunkenness
Central Business District,Animal neglect
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
East Liberty,Harassment
Central Business District,Public drunkenness
South Side Flats,Social host underage drinking
Knoxville,Harassment
Allegheny Center,Criminal Trespass
East Hills,Fighting disorderly conduct
East Liberty,Criminal Mischief
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Shadyside,Public drunkenness
South Side Flats,Public urination/defecation
East Liberty,Harassment
Garfield,Marijuana possession
Central Business District,Harassment
Allegheny West,Public urination/defecation
Brookline,Criminal Mischief
Shadyside,Unreasonable noise disorderly conduct
Central Oakland,Alcohol consumption in public
East Hills,Fighting disorderly conduct
Greenfield,Disorderly conduct (unreasonable noise)
Marshall-Shadeland,Marijuana possession
South Side Flats,Indecent public urination/defecation
Elliott,Harassment
East Liberty,Unreasonable noise disorderly conduct
Allegheny Center,Alcohol on streets/sidewalks
South Side Flats,Fighting in disorderly conduct
South Side Flats,Public drunkenness
Shadyside,Underage liquor
Knoxville,Marijuana possession
South Side Flats,Fighting in disorderly conduct
Knoxville,Fighting (disorderly conduct)
Central Oakland,Alcohol on streets/sidewalks
Knoxville,Dogs at large prohibited
Homewood North,Criminal Mischief
Central Business District,Public drunkenness
Allegheny Center,Alcohol consumption in public
South Side Flats,Public drunkenness
East Allegheny,Public drunkenness
Central Business District,Public drunkenness
Lincoln-Lemington-Belmar,Criminal Mischief
North Oakland,Harassment
Homewood South,Marijuana possession
Central Business District,Alcohol on streets/sidewalks
East Allegheny,Obstructing passage
Central Oakland,Alcohol consumption in public
East Allegheny,Obstructing passage
Central Oakland,Underage liquor offense
Knoxville,Animal neglect
Shadyside,False ID for liquor
Squirrel Hill North,Disorderly conduct (unreasonable noise)
Central Business District,Public drunkenness
Homewood South,Harassment
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Shadyside,Misrepresenting age for liquor
Central Business District,Disorderly Conduct
Homewood South,Marijuana possession
Brighton Heights,Marijuana possession
Central Business District,Harassment
East Liberty,Harassment by contact
Central Oakland,Littering
Sheraden,Animal neglect
South Side Flats,Public drunkenness
Central Oakland,Indecent public act
South Side Flats,Public drunkenness
Central Business District,Alcohol consumption in public
Central Business District,Alcohol consumption in public
Central Business District,Public drunkenness
Beechview,Harassment
Allentown,Fighting in disorderly conduct
South Side Flats,Obstructing passage
Homewood South,Public drunkenness
Central Business District,Public drunkenness
East Allegheny,Open container
Central Business District,Open Container
Carrick,Public drunkenness
Squirrel Hill South,Disorderly Conduct
Brookline,Animal neglect
Central Business District,Public drunkenness
Elliott,Alcohol consumption in public
Allentown,Fighting in disorderly conduct
Knoxville,Animal neglect
Central Business District,Public drunkenness
Shadyside,Underage liquor offense
Terrace Village,Harassment
Knoxville,Animal neglect
South Side Flats,Public drunkenness
Homewood South,Open Container
Mount Washington,Harassment
Hazelwood,Scattering Rubbish
Brookline,Animal neglect
Point Breeze North,Unreasonable Noise Disorderly Conduct
Squirrel Hill South,Public drunkenness
East Hills,Harassment
Carrick,Open Container
Brookline,Animal neglect
Chateau,Criminal Mischief
South Side Flats,Interference with duties
Crafton Heights,Criminal Mischief
North Oakland,Public drunkenness
Bluff,Harassment
Homewood South,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Amplified vehicle noise
Homewood South,Marijuana possession
North Oakland,Harassment
Beechview,Obscene Lang/Gest Disorderly Conduct
Brookline,Animal neglect
Bedford Dwellings,Harassment
Bloomfield,Alcohol on streets/sidewalks
Homewood North,Marijuana possession
South Side Flats,Fighting in disorderly conduct
West End,Marijuana possession
Squirrel Hill South,Harassment
East Allegheny,Obstructing passage
Bedford Dwellings,Harassment
Bluff,Alcohol consumption in public
Hazelwood,Littering
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Shadyside,Harassment
Homewood South,Marijuana possession
Homewood South,Marijuana possession
Central Business District,Public drunkenness
Bedford Dwellings,Marijuana possession
Bluff,Open container
South Side Flats,Indecent public act
East Allegheny,Open Container
South Side Flats,Alcohol consumption in public
North Oakland,Public drunkenness
Crafton Heights,Criminal Mischief
East Allegheny,Criminal Trespass
Knoxville,Animal neglect
North Oakland,Underage liquor offense
East Allegheny,Trespass
Beechview,Disorderly conduct
Brookline,Animal neglect
Greenfield,Fighting in disorderly conduct
Greenfield,Public drunkenness
Beechview,Public drunkenness
Central Business District,Fighting in disorderly conduct
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
South Side Flats,Fighting in disorderly conduct
,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
Central Oakland,Unreasonable noise disorderly conduct
Allentown,Fighting in disorderly conduct
South Side Flats,Public urination/defecation
East Hills,Marijuana possession
Greenfield,Fighting (disorderly conduct)
Homewood South,Marijuana possession
East Allegheny,Panhandling near paystation/ATM
Central Business District,Fighting in disorderly conduct
South Side Flats,Fighting in disorderly conduct
Bluff,Public urination/defecation
Knoxville,Dogs at large
North Shore,Disorderly Conduct (Unreasonable Noise)
Central Oakland,Open container
Knoxville,Public marijuana smoking
Brookline,Animal neglect
South Side Flats,Public urination/defecation
Shadyside,Misrepresentation of age for liquor
,Unlicensed ticket resale
North Shore,Ticket resale without license
Central Business District,Public urination/defecation
Central Business District,Public urination/defecation
Carrick,Harassment
Allentown,Fighting (Disorderly Conduct)
North Shore,Unlicensed ticket resale
Allentown,Fighting in disorderly conduct
Central Oakland,Social host underage drinking
North Shore,Ticket resale without license
Central Oakland,Open Container
Central Business District,Theft of services
Shadyside,Tethering dogs in severe weather
Central Oakland,Consume alcohol on unlicensed premises
North Shore,Indecent public act
Allentown,Fighting in disorderly conduct
Central Oakland,Disorderly Conduct - Unreasonable Noise
East Carnegie,Interference with duties
Allegheny Center,Disorderly Conduct
Sheraden,Animal neglect
Central North Side,Obscene Lang/Gest Disorderly Conduct
Spring Hill-City View,Actual Communication
Spring Hill-City View,Littering
Mount Washington,Harassment
North Shore,Public drunkenness
Homewood South,Marijuana possession
Knoxville,Disorderly conduct
East Allegheny,Fighting in disorderly conduct
South Side Flats,Public urination/defecation
Larimer,Fighting (Disorderly Conduct)
Homewood South,Marijuana possession
Hazelwood,Public drunkenness
Spring Hill-City View,Harassment
Bloomfield,Marijuana possession
Brookline,Public drunkenness
Knoxville,Alcohol consumption in public
Brookline,Disorderly Conduct
Shadyside,Public drunkenness
Carrick,Marijuana possession
Larimer,Harassment
Fineview,Public drunkenness
East Allegheny,Retail Theft
Bloomfield,Marijuana possession
Homewood South,Criminal Trespass
Homewood South,Marijuana possession
South Side Flats,Alcohol on streets/sidewalks
South Side Slopes,Harassment
South Side Flats,Public drunkenness
Squirrel Hill South,Underage liquor
Bluff,Public drunkenness
East Allegheny,Fighting disorderly conduct
Shadyside,Public drunkenness
Central Oakland,Underage liquor offense
Brookline,Scattering rubbish
South Side Flats,Indecent public act
Bluff,Fighting in disorderly conduct
East Allegheny,Criminal Mischief
South Side Flats,Harassment
Larimer,Harassment
Central Business District,Marijuana possession
Squirrel Hill South,Public drunkenness
Mount Washington,Harassment
East Allegheny,Fighting (Disorderly Conduct)
Central Oakland,Alcohol consumption on unlicensed premises
Central Business District,Public drunkenness
Brookline,Disorderly Conduct
South Side Flats,Public marijuana smoking
Central Oakland,Alcohol on streets/sidewalks
Bloomfield,Marijuana possession
South Side Flats,Public drunkenness
Mt. Oliver Boro,Unreasonable noise disorderly conduct
Brookline,Spitting
South Side Flats,Public drunkenness
North Shore,Public drunkenness
South Side Flats,Fighting in disorderly conduct
Larimer,Public drunkenness
Hazelwood,Disorderly conduct (unreasonable noise)
Central Business District,Trespassing excretion
South Side Flats,Public drunkenness
Sheraden,Harassment
Central Oakland,Public marijuana smoking
Allegheny Center,Theft of Services
Central Business District,Public drunkenness
South Side Flats,Obstructing sidewalks
Central Oakland,Underage liquor
Mount Washington,Marijuana possession
North Shore,Underage liquor offense
Mount Washington,Fighting in disorderly conduct
South Side Flats,Aggressive Panhandling
Beltzhoover,Marijuana possession
Central Business District,Harassment
North Shore,Disorderly Conduct
Manchester,Harassment
South Side Flats,Public urination/defecation
Knoxville,Obstructing passage
Central Business District,Criminal Mischief
Central Oakland,Alcohol on streets/sidewalks
Shadyside,Public drunkenness
Central Oakland,Public urination/defecation
South Side Flats,Public drunkenness
Homewood South,Alcohol consumption in public
North Shore,Unlawful ticket resale
Central Business District,Theft of services
North Shore,Ticket resale without license
South Oakland,Public drunkenness
Central Oakland,Alcohol consumption on unlicensed premises
South Side Flats,Fighting (Disorderly Conduct)
Central Oakland,Unreasonable noise disorderly conduct
North Shore,Unlicensed ticket resale
Homewood North,Alcohol on streets/sidewalks
Central Business District,Public drunkenness
North Shore,Unlawful ticket resale
North Shore,Unlawful ticket resale
Central Business District,Disorderly conduct
Allentown,Harassment
Central Business District,Disorderly Conduct
Central Business District,Public drunkenness
South Side Flats,Indecent public act
North Shore,Obstructing passage
Central Business District,Public drunkenness
Outside City,Harassment
Perry South,Harassment
North Shore,Public drunkenness
Central Business District,Public drunkenness
East Allegheny,Public drunkenness
North Shore,Public drunkenness
Shadyside,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Harassment
Central Business District,Criminal Trespass
Perry South,Harassment
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
East Hills,Marijuana possession
North Shore,Criminal Trespass
South Side Flats,Public urination/defecation
East Hills,Marijuana possession
Sheraden,Marijuana possession
Central Business District,Public drunkenness
,Public drunkenness
Lincoln Place,Harassment
Central Lawrenceville,Public drunkenness
,Littering
Central Oakland,Public drunkenness
South Side Flats,Public drunkenness
Strip District,Public drunkenness
Central Business District,Criminal Mischief
Esplen,Marijuana possession
North Shore,Harassment
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
Chateau,Public drunkenness
South Side Flats,Public drunkenness
Central Lawrenceville,Public drunkenness
North Shore,Public drunkenness
North Shore,Public drunkenness
Central Oakland,Open Container
South Side Flats,Public drunkenness
Shadyside,Public drunkenness
South Side Flats,Public urination/defecation
West Oakland,Marijuana possession
Central Business District,Harassment
Central Business District,Public drunkenness
Chateau,Harassment
Overbrook,Criminal Mischief
North Shore,Public drunkenness
Lincoln Place,Harassment
Allegheny Center,Alcohol consumption in public
Brookline,Harassment
Central Oakland,Underage liquor
Bluff,Public drunkenness
North Shore,Public drunkenness
Brookline,Criminal Mischief
Esplen,Marijuana possession
Northview Heights,Obstructing passage
Central Business District,Public drunkenness
Central Oakland,Underage liquor offense
South Side Flats,Public urination/defecation
Central Oakland,Disorderly Conduct
South Side Flats,Public urination/defecation
South Side Flats,Underage liquor
Central Oakland,Public drunkenness
Larimer,Marijuana possession
North Shore,Underage liquor
Shadyside,Public drunkenness
Westwood,Scattering rubbish
East Allegheny,Obstructing passage
Squirrel Hill North,Underage liquor offense
Sheraden,Marijuana possession
North Shore,Unreasonable noise disorderly conduct
Central North Side,Disorderly Conduct
Marshall-Shadeland,Public drunkenness
Allegheny Center,Alcohol consumption in public
Squirrel Hill North,Unreasonable noise disorderly conduct
North Shore,Disorderly conduct
Mount Washington,Public drunkenness
,Public urination/defecation
Shadyside,Disorderly Conduct
Perry South,Harassment
South Side Flats,Public urination/defecation
North Shore,Disorderly conduct - unreasonable noise
,Harassment
Perry South,Public drunkenness
North Shore,Disorderly Conduct
South Side Flats,Disorderly Conduct
,Excessive noise in apartment
,Obstructing passage
Central Oakland,Underage liquor
Allentown,Criminal Mischief
Central Business District,Public drunkenness
Point Breeze North,Disorderly Conduct
Lincoln-Lemington-Belmar,Marijuana possession
South Side Flats,Underage liquor offense
Larimer,Harassment
South Side Flats,Public drunkenness
Shadyside,Harassment
South Side Flats,Fighting (Disorderly Conduct)
South Side Flats,Fighting disorderly conduct
Squirrel Hill South,Fighting in disorderly conduct
Garfield,Dogs at large prohibited
South Side Flats,Underage liquor
North Shore,Obstructing passage
Shadyside,Fighting in disorderly conduct
Central Oakland,Alcohol consumption in public
South Side Flats,Disorderly Conduct
Spring Hill-City View,Scattering Rubbish
Central Oakland,Disorderly Conduct
Central Business District,Panhandling
Shadyside,Disorderly conduct
South Side Flats,Disorderly Conduct
East Allegheny,Public drunkenness
Squirrel Hill North,Disorderly conduct (unreasonable noise)
South Side Flats,Criminal Trespass
Shadyside,Disorderly conduct (unreasonable noise)
Central Oakland,Public drunkenness
Squirrel Hill North,Underage liquor
South Side Flats,Unreasonable Noise Disorderly Conduct
Homewood North,Alcohol consumption in public
Squirrel Hill South,Fighting in disorderly conduct
Esplen,Dangerous Burning
North Shore,Obstructing passage
West End,Harassment
South Side Flats,Public urination/defecation
South Shore,Public drunkenness
,Public urination/defecation
South Side Flats,Fighting in disorderly conduct
South Side Flats,Public urination/defecation
Marshall-Shadeland,Criminal Mischief
Homewood North,Alcohol on streets/sidewalks
Allegheny Center,Alcohol on streets/sidewalks
Esplen,Dangerous Burning
Marshall-Shadeland,Retail Theft
Marshall-Shadeland,Dangerous Burning
Central North Side,Actual Communication
Central Business District,Alarm device control
South Side Flats,Fighting (Disorderly Conduct)
Squirrel Hill North,Underage liquor
North Shore,Defiant Trespass
Marshall-Shadeland,Criminal Mischief
Central Business District,Alcohol on streets/sidewalks
Brighton Heights,Dangerous Burning
Chateau,Fighting in disorderly conduct
Carrick,Dangerous Burning
South Side Flats,Indecent public urination/defecation
Allegheny West,Public drunkenness
Homewood North,Alcohol on streets/sidewalks
South Side Flats,Public urination/defecation
Brookline,Harassment
North Shore,Unlicensed ticket resale
South Side Flats,Actual Communication
North Shore,Trespass
South Side Flats,Alcohol on streets/sidewalks
Garfield,Dogs on courts/playgrounds
Homewood North,Alcohol on streets/sidewalks
South Side Flats,Criminal Trespass
Strip District,Public drunkenness
Central Business District,Public drunkenness
Mount Washington,Cruelty to animals
Central Lawrenceville,Scattering Rubbish
Northview Heights,Criminal Trespass
North Oakland,Park hours
Brookline,Marijuana possession
East Allegheny,Retail Theft
Greenfield,Harassment
East Hills,Marijuana possession
Squirrel Hill South,Fighting (disorderly conduct)
Sheraden,Marijuana possession
East Hills,Marijuana possession
East Allegheny,Obstructing passage
Brookline,Obscene Lang/Gest Disorderly Conduct
Outside City,Obscene Lang/Gest Disorderly Conduct
Squirrel Hill North,Underage liquor
West End,Public drunkenness
Squirrel Hill North,Public drunkenness
Squirrel Hill North,Social host underage drinking
South Side Flats,Marijuana possession
South Side Flats,Interference with duties
Central Oakland,False ID for liquor
Outside City,Interference with duties
Knoxville,Unreasonable Noise Disorderly Conduct
Northview Heights,Tethering dogs in severe weather
South Side Flats,Disorderly Conduct - Unreasonable Noise
Central Business District,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Scattering rubbish
Homewood North,Alcohol on streets/sidewalks
North Shore,Unlicensed ticket resale
Perry South,Obscene lang/gest disorderly conduct
Central Business District,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Indecent public act
South Side Flats,Indecent public act
Central Oakland,Public urination/defecation
South Side Flats,Public urination/defecation
South Side Flats,Indecent public act
South Side Flats,Public urination/defecation
Squirrel Hill North,Underage liquor
Brookline,Harassment
South Side Flats,Alcohol on streets/sidewalks
Central Oakland,Public drunkenness
South Side Flats,Public drunkenness
Brookline,Fighting (disorderly conduct)
Carrick,Fighting in disorderly conduct
North Shore,Public drunkenness
Homewood West,Marijuana possession
Central Business District,Retail Theft
Brighton Heights,Fighting (Disorderly Conduct)
Fineview,Criminal Mischief (Prop Damage by Fire/Explosives/Dangerous Means)
Knoxville,Animal neglect
Bon Air,Panhandling hindrance
Central Business District,Public drunkenness
North Shore,Public drunkenness
Squirrel Hill North,Social host underage drinking
Carrick,Fighting (disorderly conduct)
Brookline,Fighting in disorderly conduct
North Oakland,Public drunkenness
South Side Flats,Indecent public act
Bluff,Indecent public act
South Side Flats,Public drunkenness
South Side Flats,Indecent public act
Central Business District,Theft of Services
Terrace Village,Marijuana possession
Strip District,Public drunkenness
North Shore,Unlawful ticket resale
South Side Flats,Harassment
Knoxville,Interference with official duties
Central Business District,Fighting disorderly conduct
Carrick,Harassment
North Shore,Harassment
Central Business District,Disorderly Conduct
South Side Flats,Public drunkenness
Central Business District,Fighting in disorderly conduct
Central Business District,Actual Communication
South Side Flats,Public drunkenness
Central Business District,Harassment
Homewood West,Marijuana possession
Lincoln-Lemington-Belmar,Excessive noise in apartment (time and dB limits)
South Side Slopes,Marijuana possession
South Side Flats,Fighting (disorderly conduct)
Homewood South,Marijuana possession
North Shore,Vendor/peddler license
East Liberty,Marijuana possession
Brookline,Marijuana possession
Central Oakland,Disorderly Conduct
Central Lawrenceville,Public drunkenness
St. Clair,Dog license requirement
Central Business District,Harassment by contact
South Side Flats,Public drunkenness
Central Business District,Public urination/defecation
Central Business District,Panhandling
Central Oakland,Marijuana possession
Banksville,Public drunkenness
Central Oakland,Retail Theft
North Shore,Obscene conduct
North Shore,Fighting disorderly conduct
South Side Flats,Criminal Trespass
South Side Flats,Public drunkenness
Central Oakland,Open Container
Mount Washington,Harassment
Central Business District,Public drunkenness
Perry South,Marijuana possession
South Side Flats,Indecent public urination/defecation
South Side Flats,Marijuana possession
South Side Flats,Fighting (disorderly conduct)
Central Business District,Harassment
East Hills,Marijuana possession
North Shore,Fighting in disorderly conduct
Homewood South,Marijuana possession
Highland Park,Marijuana possession
,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
Brookline,Harassment
Mount Washington,Criminal Mischief
Brookline,Harassment
Bluff,Obstructing passage
Carrick,Criminal Trespass
South Side Flats,Public drunkenness
North Shore,Trespass
Bloomfield,Harassment
Upper Hill,Harassment by contact
East Allegheny,Retail Theft
South Side Flats,Public drunkenness
Marshall-Shadeland,Marijuana possession
Mount Oliver,Harassment
Squirrel Hill North,Underage liquor
Squirrel Hill North,Underage liquor
Squirrel Hill North,Underage liquor offense
West Oakland,Public drunkenness
Bluff,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
South Side Flats,Alcohol consumption in public
Stanton Heights,Harassment by contact
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Indecent public act
Banksville,Obscene lang/gest disorderly conduct
Central Business District,Harassment
Squirrel Hill North,Underage liquor
Squirrel Hill North,Underage liquor
Central Oakland,Open Container
South Side Flats,Public urination/defecation
Central Oakland,Open container
South Side Flats,Public drunkenness
South Side Flats,Disorderly Conduct
South Side Flats,Public urination/defecation
Central Oakland,Underage liquor offense
South Side Flats,Indecent public act
Squirrel Hill North,Fighting (Disorderly Conduct)
South Side Flats,Disorderly conduct
Mount Washington,Cruelty to animals
Strip District,Harassment
Greenfield,Criminal Mischief
Highland Park,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
Central Oakland,Public urination/defecation
Bluff,Indecent public act
Homewood South,Public urination/defecation
Beltzhoover,Marijuana possession
Northview Heights,Dangerous Burning
Bedford Dwellings,Criminal Mischief
Central North Side,Disorderly Conduct
South Side Flats,Disorderly Conduct
Homewood South,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Fighting disorderly conduct
East Hills,Marijuana possession
West Oakland,Fighting disorderly conduct
Glen Hazel,Marijuana possession
Central Business District,Public drunkenness
North Shore,Unreasonable noise disorderly conduct
South Side Flats,Indecent public act
South Side Flats,Fighting in disorderly conduct
Central Business District,Public drunkenness
Squirrel Hill North,Underage liquor
South Side Flats,Public drunkenness
North Shore,Public drunkenness
North Shore,Harassment
South Side Flats,Disorderly Conduct
Shadyside,Marijuana possession
East Allegheny,Criminal Mischief
South Side Flats,Public urination/defecation
Central Business District,Disorderly Conduct
Perry North,Definition of Conviction
South Side Flats,Fighting in disorderly conduct
South Side Flats,Indecent public act
Beltzhoover,Theft of services
East Hills,Public marijuana smoking
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Shadyside,Public drunkenness
East Allegheny,Obstructing passage
Friendship,Disorderly Conduct - Unreasonable Noise
Sheraden,Disorderly conduct (unreasonable noise)
Central Business District,Public drunkenness
South Side Flats,Harassment
Shadyside,Public drunkenness
Brookline,Criminal Mischief
West Oakland,Public drunkenness
Marshall-Shadeland,Marijuana possession
Central Lawrenceville,Littering
Strip District,Unreasonable Noise Disorderly Conduct
East Hills,Marijuana possession
South Side Flats,Public urination/defecation
Central Business District,Harassment
Brookline,Harassment
South Side Flats,Alcohol consumption in public
Carrick,Fighting (Disorderly Conduct)
Northview Heights,Dangerous Burning
Shadyside,False ID for liquor
Middle Hill,Harassment
Central Business District,Indecent public act
North Shore,Disorderly Conduct
Highland Park,Marijuana possession
South Side Flats,Public urination/defecation
Squirrel Hill North,Disorderly conduct - unreasonable noise
Allentown,Disorderly Conduct
Perry North,Public drunkenness
Bluff,Public urination/defecation
West Oakland,Underage liquor
Central North Side,Alcohol consumption in public
Central Business District,Harassment
Central Business District,Public drunkenness
Central Business District,Dangerous Burning
Central Business District,Harassment
Brookline,Criminal Mischief (Graffiti Damage)
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Central Business District,Fighting disorderly conduct
Knoxville,Cruelty to animals
East Hills,Marijuana possession
North Shore,Unreasonable Noise Disorderly Conduct
East Hills,Marijuana possession
Knoxville,Disorderly conduct - Unreasonable noise
North Shore,Criminal Trespass
Carrick,Fighting in disorderly conduct
Squirrel Hill North,Social host underage drinking
Bluff,Public drunkenness
Bluff,Marijuana possession
Central Business District,Theft of Services
Perry North,Animal neglect
Bluff,Criminal Mischief
Homewood South,Unreasonable noise disorderly conduct
Spring Hill-City View,Disorderly conduct (unreasonable noise)
Sheraden,Disorderly Conduct - Unreasonable Noise
South Side Flats,Public drunkenness
Central Business District,Fighting (disorderly conduct)
Allegheny Center,Alcohol consumption in public
Mount Washington,Panhandling hindrance
Carrick,Harassment
Friendship,Public drunkenness
Spring Hill-City View,Unreasonable noise disorderly conduct
Brookline,Theft of Services
Shadyside,Public drunkenness
Brighton Heights,Harassment
Central Business District,Fighting in disorderly conduct
Central Business District,Theft of services
South Side Flats,Public urination/defecation
Homewood South,Harassment
Bluff,Public drunkenness
Central Business District,Theft of Services
Central Business District,Fighting (Disorderly Conduct)
South Shore,Obstructing passage
South Side Flats,Fighting (Disorderly Conduct)
Mount Washington,Criminal Mischief (Prop Damage by Fire etc.)
East Allegheny,Theft of Services
South Side Flats,Fighting disorderly conduct
South Side Flats,Alcohol on streets/sidewalks
Central Oakland,Public drunkenness
South Side Flats,Public drunkenness
Allentown,Marijuana possession
South Side Flats,Indecent public act
South Side Flats,Public drunkenness
Sheraden,Cruelty to animals
South Side Flats,Underage Liquor Offense
Northview Heights,Obstructing passage
West Oakland,Underage liquor offense
Central Business District,Unauthorized urination/defecation on private property
Sheraden,Animal neglect
Sheraden,Animal neglect
Sheraden,Animal neglect
Allegheny Center,Scattering Rubbish
Sheraden,Cruelty to animals
Upper Hill,Criminal Mischief (Prop Damage by Dangerous Means)
Central Oakland,Indecent public act
Homewood South,Fighting in disorderly conduct
Bon Air,Marijuana possession
West Oakland,Fighting (disorderly conduct)
Central Oakland,Unreasonable noise disorderly conduct
Sheraden,Animal neglect
East Allegheny,Obstructing passage
Sheraden,Animal neglect
Bon Air,Obstructing passage
Knoxville,Animal neglect
Sheraden,Dog tethering
Sheraden,Animal neglect
Homewood West,Criminal Mischief
South Side Flats,Public drunkenness
Bloomfield,Public drunkenness
Sheraden,Cruelty to animals
Central Business District,Harassment by contact
Spring Garden,Dogs at large prohibited
Manchester,Amplified vehicle noise
Sheraden,Animal neglect
South Side Flats,Fighting in disorderly conduct
Allegheny Center,Public drunkenness
Squirrel Hill South,Marijuana possession
Sheraden,Rabies vaccination
Central Business District,Public drunkenness
Central Business District,Public drunkenness
North Shore,Indecent public act
Central North Side,Marijuana possession
South Side Flats,Fighting (Disorderly Conduct)
Sheraden,Rabies vaccination
Sheraden,Cruelty to animals
Sheraden,Harboring nuisance animal
Central Oakland,Public drunkenness
South Side Flats,Public urination/defecation
Sheraden,Animal neglect
,Animal neglect
South Side Flats,Public urination/defecation
Sheraden,Cruelty to animals
Sheraden,Harboring nuisance animal
Sheraden,Harboring nuisance animal
South Side Flats,Unauthorized urination/defecation on private property
East Allegheny,Panhandling - Traffic hindrance
South Side Flats,Fighting (Disorderly Conduct)
Sheraden,Animal neglect
Sheraden,Animal neglect
South Side Flats,Alcohol on streets/sidewalks
Sheraden,Harboring nuisance animal
Central Business District,Littering
Greenfield,Fighting (disorderly conduct)
South Side Flats,Indecent public urination/defecation
Shadyside,Obscene lang/gest disorderly conduct
Greenfield,Fighting in disorderly conduct
Sheraden,Cruelty to animals
Sheraden,Harboring nuisance animal
Central Business District,Disorderly Conduct
